raw_skill,canonical_skill
3dStudioMax,3ds Max
Accounting,Accounting
Accounting Software,Accounting Software
Accounting Software QuickBooks,Accounting Software
Accounts & Finance,Accounting
Accounts and audit,Accounting
Adaptability and interpersonal skills,DROP
Administrative Management,Administration
Administrative Support,Administration
Admission Documentation,Documentation
Adobe Photoshop & Illustrator,Graphic Design
Adobe Photoshop & Illustrator,Illustrator
Adobe Photoshop & Illustrator,Photoshop
Architectural Designs,Architectural Design
Architectural Drafting,Architectural Design
Artificial Intelligence (AI),Artificial Intelligence
Auto CAD Designing,AutoCAD
AutoCAD,AutoCAD
AutoCAD 2D & 3D,AutoCAD
B2B & B2C Sales and Marketing,Sales
Building Construction Supervision,Civil Construction
Business Development,Business Development
Child Protection & Youth Empowerment,Community Development
Civil Construction,Civil Construction
Classroom Management,Teaching
Cleaning Experience,Cleaning
Client & Team Coordination,Client Relationship Management
Client Acquisition,Business Development
Client Communication Skills,Communication
Client Relationship,Client Relationship Management
Client Relationship Management,Client Relationship Management
Communication Skills,Communication
Communication Teamwork Negotiation and persuasion Confidence,DROP
Community Development,Community Development
Community Mobilization,Community Development
Compliance of VAT and Tax,VAT & Tax
Conflict Management,Risk Management
Construction side as Diploma in Civil Engineering,Civil Construction
Content Creation,Content Creation
Content Developing,Content Creation
Content Marketing,Content Creation
Contract Management,Project Management
Corporate Sales & Marketing,Sales
Cost Analysis,Financial Analysis
Cost Control,Financial Analysis
Cross Functional Collaboration,Teamwork
Customer & Dealer Relationship Management (CRM),Client Relationship Management
Customer Relations,Client Relationship Management
Customer Relationship Management (CRM),Client Relationship Management
Customer Service,Customer Service
Customer Service & Support,Customer Service
Customer Support/Client Service,Customer Service
Database Administration,Database Administration
Digital Campaign Strategy,Digital Marketing
Digital Content Development,Content Creation
Digital Content Management,Content Creation
Digital Maketing,Digital Marketing
Digital Marketing,Digital Marketing
Documentation,Documentation
Documentation & Follow Up,Documentation
ERP Implementation,Accounting Software
ERP software,Accounting Software
ETABS,ETABS
Early Childhood Teaching,Teaching
Education Research,Market Research
Effective Multitasking,Time Management
Electrical Substation,Electrical Maintenance
Electrical equipment maintenance,Electrical Maintenance
Email Communication,Communication
Employee Relations,Human Resources
English Reading Skills,English
English Teaching,Teaching
Enscape in Sketchup Mandatory,SketchUp
Estimation & BOQ,Civil Construction
Event Coordination & Campaign Management,Community Development
Excellent communication and interpersonal skills.,Communication
Excellent communication and presentation skills,Communication
Excellent in both written and spoken in English,English
Facilitation,Teaching
Finance & Accounting,Accounting
Financial Analysis,Financial Analysis
Financial Reporting,Financial Reporting
Finishing,Civil Construction
Furniture assembling,Furniture Assembly
Furniture design,Architectural Design
Government liaison,Stakeholder Management
Graphic Design,Graphic Design
Graphics Design,Graphic Design
Growth Mindset,DROP
HR Operations & Management,Human Resources
HR software systems,Human Resources
HRIS & Payroll Management,Human Resources
Human Resources Management,Human Resources
"Illustrator, Photoshop, Corel Draw",CorelDRAW
"Illustrator, Photoshop, Corel Draw",Graphic Design
"Illustrator, Photoshop, Corel Draw",Illustrator
"Illustrator, Photoshop, Corel Draw",Photoshop
Income Tax Management,VAT & Tax
Interior Designing knowledge,Architectural Design
Interpersonal skills,DROP
Japan Student Visa Processing,Legal & Compliance
Language Proficiency: Bangla and English,English
Laravel,Laravel
Lead Generation,Business Development
Leadership,Leadership
Legal Affairs,Legal & Compliance
Lesson Planning,Teaching
Logistic Support,Administration
Lumion,Lumion
Lumion(3d render and animation),Lumion
MS Excel,MS Excel
"MS Office (Word, Excel, PowerPoint)",MS Excel
"MS Office (Word, Excel, PowerPoint)",MS Office
"MS Office(Word, Excel, Power Point)",MS Excel
"MS Office(Word, Excel, Power Point)",MS Office
MS Project,MS Project
Manpower management,Team Management
Market Analysis,Market Research
Market Research,Market Research
Marketing,Sales
Marketinng,Sales
Microsoft 365,MS Office
Microsoft office and Internet,MS Office
Motorcycle License,Driving
"Ms word, Ms Excel, PowerPoint, Internet Browse",MS Excel
"Ms word, Ms Excel, PowerPoint, Internet Browse",MS Office
Negotiation,Negotiation
Negotiation Skills,Negotiation
Negotiation and Closing Skills,Negotiation
Neural Architecture Design,Artificial Intelligence
Office Administration and Coordination,Administration
Operation & Maintenance,Procurement & Inventory
